N,Naive (ns),Tiled (ns),Transposed (ns),Cublas (ns),CPU 16 Thds OMP (ns)
24,424643,396075,396229,1031576,5677073
48,471082,394259,380962,1041544,3233802
96,443187,410743,399719,909379,170621
192,694047,538878,538590,1680978,1226836
384,2264727,1726500,1709291,4827479,12463730
768,8282916,5682393,5641801,25941424,119611884
1536,44593848,31939929,31777967,47625424,688255189
3072,308616904,223997344,223593406,292760737,7028639555
6144,2325954104,1724734022,1716213467,1592010927,463812532059
