0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,4.011709,2.176288,1.570832,1.282406,1.190329,1.185732,0.934068,1.235126,1.151659,1.13373,1.176504,5.984064,4.711675,5.706718,5.487187,5.321983
2,4.077689,5.600484,4.676627,4.407114,1.758397,4.6417,4.947818,5.253446,5.192746,1.97783,12.057831,9.944913,4.69344,11.784478,3.04717,5.868921
3,4.443069,2.366702,1.581672,1.540133,1.27746,1.331514,1.447825,1.177508,2.025922,12.038906,9.098647,8.888803,11.180081,11.156816,10.182083,6.404127
4,3.278451,1.937203,12.351756,1.238022,1.030027,1.218678,1.742709,1.250031,9.44056,10.8138,11.153,11.646891,11.292414,12.606109,9.832013,11.536347
5,2.819532,5.592561,9.686284,7.433133,11.052125,9.398416,11.385012,18.089197,10.358509,12.015127,16.79626,11.69344,21.194657,14.25498,17.488372,18.831367
6,2.42708,12.147172,10.367177,10.314611,21.556367,10.686425,10.230124,10.655349,10.669404,12.863716,13.169328,19.508731,17.193506,19.811145,12.153362,16.568339
7,2.039383,5.488389,19.924268,10.030461,18.15358,21.406645,10.659344,21.144147,8.974702,11.170324,9.999603,11.993038,27.425512,21.29226,15.308097,19.107388
