k,Error,Runtime ns
8,3.28E-02,12145553
9,8.20E-03,12863716
10,8.18E-03,14045781
11,2.05E-03,21601898
12,2.05E-03,38108120
13,5.11E-04,92658920
14,5.11E-04,290275060
15,1.28E-04,785697132
16,1.28E-04,2609849297
