0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,16.004435,8.17434,5.827135,4.545203,3.816285,3.324592,2.916058,2.758159,2.479714,2.268292,2.108901,6.775709,6.22572,5.944202,6.291813,6.160324
2,22.691226,11.795714,8.207975,7.307512,5.526658,6.109268,5.583583,6.339827,5.685184,3.183598,14.280264,5.401627,3.507987,5.719065,2.731035,3.517643
3,17.702015,8.93365,5.938097,4.492682,3.697715,3.17197,2.840625,2.440754,2.469425,13.891642,4.552002,4.407806,12.962498,12.844929,8.558887,3.186519
4,13.140166,6.768281,15.160886,3.238694,2.845092,2.487293,2.231502,1.844439,11.429673,12.506422,13.041869,10.692485,12.809908,12.769134,11.156408,9.181063
5,10.667538,8.188447,12.880784,9.973585,13.987505,11.315211,13.853488,25.502882,12.906839,15.533252,20.786986,13.802506,21.393627,15.755899,22.639453,20.323093
6,8.876418,17.683303,14.42503,13.443993,23.510052,13.149,11.920317,11.353734,12.50153,14.045781,12.891803,27.399774,20.263861,22.506409,11.828246,21.751978
7,7.65761,8.328168,27.258496,14.029236,18.445312,21.230685,12.614638,21.46801,11.838814,12.489313,13.362578,12.795738,30.882719,16.637894,14.541719,21.520264
