k,Error,Runtime ns
8,9.24E-05,1940212
9,1.83E-05,1133730
10,6.66E-06,2268292
11,1.26E-06,8272096
12,1.67E-07,32776962
13,6.81E-08,130934385
14,1.72E-08,523576764
15,3.34E-09,2093871245
16,1.26E-09,8375660155
