k,Error,Runtime ns
8,8.24E-03,811344
9,8.20E-03,1581672
10,2.05E-03,5938097
11,2.05E-03,23613202
12,5.12E-04,94370507
13,5.11E-04,203199516
14,1.28E-04,627830220
15,1.28E-04,2578025425
16,3.20E-05,10359708150
