0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,16322.665323,8156.251665,5767.922039,4446.729081,3672.908092,3165.688644,2847.591414,2559.164185,2326.675779,2093.871245,1985.490444,1959.434001,1863.951388,1656.126672,1702.689579,1476.00916
2,16295.355545,8159.148102,4361.63134,2989.044138,2346.283397,1920.872412,1514.260729,1817.993252,1616.369283,1717.00329,1234.250902,1202.853402,1007.407524,1007.260251,965.491364,910.572431
3,6915.964044,3749.330792,2578.025425,1923.757647,1631.306414,1507.200668,1340.279751,1186.76297,1096.906965,1096.90514,982.420518,860.950057,782.073037,801.668608,660.99574,755.324795
4,5897.863022,3072.252314,2232.286423,1533.669838,1230.368397,1073.200775,949.766148,931.187259,823.655383,888.758939,770.788127,628.733205,621.381052,565.521893,586.889285,510.687253
5,4609.984306,3432.703931,1955.452277,1540.069525,1454.556721,1063.065167,1027.619715,953.52117,892.710862,1003.692228,839.488724,731.587346,668.214101,582.564659,696.367219,596.313012
6,3340.923336,3357.721591,1817.335952,1041.05962,1763.355543,1289.147655,1000.966197,876.376978,832.419253,785.697132,719.402378,707.613811,817.929599,709.629499,623.987129,567.470326
7,3029.704914,3009.110451,3034.797812,1626.776107,1280.236799,1128.908378,784.0114,831.217463,797.481024,764.821694,679.09736,625.977554,508.817344,497.650745,490.003637,492.373452
