k,Error,Runtime ns
8,8.24E-03,1569461
9,8.20E-03,4443069
10,2.05E-03,17702015
11,2.05E-03,70670688
12,5.12E-04,137635861
13,5.11E-04,429412771
14,1.28E-04,1743134854
15,1.28E-04,6915964044
16,3.20E-05,27714348163
