0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,1018.49884,509.741761,368.655301,279.084959,229.769986,200.022979,175.144728,158.323269,145.499585,130.934385,119.045045,128.323694,118.178085,112.490931,103.071525,98.11523
2,1019.771769,532.620745,356.613796,284.326851,225.790333,184.683903,144.880028,203.683588,175.916398,171.394897,156.305399,143.160968,132.219773,122.749299,115.719598,107.214228
3,429.412771,257.3343,203.199516,234.69791,166.168879,169.230691,155.016741,141.740538,126.007803,138.358908,103.257228,96.854697,88.910849,80.062293,76.039884,71.179593
4,362.547256,248.617923,240.024262,188.074148,167.437511,139.069505,112.901954,106.765579,103.979133,95.759637,107.772484,77.977029,86.05779,65.075035,63.059701,63.014192
5,309.520174,242.696061,255.759082,142.135465,137.524141,100.057181,137.534364,144.830201,93.431802,99.980345,116.738624,92.446368,105.659387,89.241727,82.796331,81.211648
6,316.35819,320.748845,204.219746,164.8535,194.672835,168.826337,128.746088,113.47674,85.144555,92.65892,94.986861,83.177577,98.407213,94.916804,76.348539,70.630385
7,296.591566,225.231587,299.708779,188.659902,176.677371,121.44638,110.354168,147.490875,84.35129,80.131175,82.042162,82.382802,98.111924,67.881119,72.099152,75.076707
