k,Error,Runtime ns
8,3.28E-02,15951347
9,4.11E-03,27425512
10,4.09E-03,30882719
11,4.09E-03,32773848
12,5.12E-04,51214138
13,5.11E-04,98111924
14,5.11E-04,186386771
15,6.39E-05,508817344
16,6.39E-05,1735274447
