k,Error,Runtime ns
8,8.24E-03,1181930
9,8.20E-03,2366702
10,2.05E-03,8933650
11,2.05E-03,35434075
12,5.12E-04,141541795
13,5.11E-04,257334300
14,1.28E-04,924414142
15,1.28E-04,3749330792
16,3.20E-05,15172062046
