0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,254.759305,127.540549,91.198434,69.872307,57.5783,49.487836,44.056281,39.862412,36.420571,32.776962,29.814698,35.66989,36.023888,33.53143,31.293831,28.490376
2,270.975412,191.150906,148.637141,105.450984,85.581574,70.113592,59.700948,49.232128,42.722877,43.029886,49.637399,36.131506,33.21463,31.233959,28.977365,26.999725
3,137.635861,141.541795,94.370507,70.806872,56.729812,47.248477,40.569808,35.535124,31.644578,47.413517,26.143213,24.62248,32.055238,22.112883,19.814937,18.077993
4,149.389115,106.571935,94.778169,53.426443,42.850179,35.767834,28.871663,26.224732,33.780866,34.989311,31.502022,25.906995,30.82515,22.789809,20.46975,16.056467
5,158.767289,80.97796,72.180593,42.556673,52.779997,35.865881,50.224706,67.564206,32.308227,42.546894,39.916055,37.559626,43.775838,34.316945,37.694853,39.106518
6,123.269458,122.550907,73.932531,57.123284,83.810241,50.326757,46.71388,39.467558,37.082663,38.10812,35.098556,38.203859,40.910007,39.049749,26.840793,35.991098
7,114.305583,60.468233,122.448602,60.71634,60.797405,52.247915,40.45254,54.13017,31.728805,27.32431,28.728,28.529408,51.214138,32.928467,29.947999,33.351544
