0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,4076.091404,2038.463568,1482.033826,1113.266089,918.247055,793.469461,700.281905,632.588721,581.724983,523.576764,476.05639,503.874967,450.285663,417.330004,394.063096,367.483077
2,4067.106033,2047.957957,1125.208161,787.131522,569.448175,505.788468,439.420798,602.613312,524.791894,612.814969,619.010291,433.030534,436.781364,386.132619,369.077397,355.172671
3,1743.134854,924.414142,627.83022,471.038508,391.227244,346.878794,302.039669,470.878121,415.100476,342.122357,323.77028,338.742521,295.191159,290.604719,262.071629,259.740375
4,1493.460138,736.424866,726.260383,418.848374,373.33142,324.009883,325.222218,306.458425,246.760743,309.48755,279.441849,224.394685,249.206635,208.886856,181.24609,212.406878
5,1159.870125,892.298342,617.814478,482.338651,402.136017,326.558343,306.795136,337.088175,274.748304,278.498507,275.063471,246.909593,223.968852,231.506887,242.433194,224.845999
6,947.177824,953.500294,552.833248,424.038663,529.013271,397.297743,319.675291,276.135908,249.083204,290.27506,272.736948,252.298943,258.253689,266.137272,237.749947,200.61822
7,878.449125,796.826299,879.255888,503.661136,495.052924,314.451479,274.403237,372.875494,238.917433,252.484491,246.888604,235.489777,186.386771,179.682904,176.838437,179.607036
