k,Error,Runtime ns
8,8.24E-03,9747057
9,8.20E-03,9098647
10,2.05E-03,4552002
11,2.05E-03,7454074
12,5.12E-04,26143213
13,5.11E-04,103257228
14,1.28E-04,323770280
15,1.28E-04,982420518
16,3.20E-05,3763251346
