k,Error,Runtime ns
8,3.28E-02,6975690
9,4.11E-03,8974702
10,4.09E-03,11838814
11,4.09E-03,15152276
12,5.12E-04,31728805
13,5.11E-04,84351290
14,5.11E-04,238917433
15,6.39E-05,797481024
16,6.39E-05,2792591102
