0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.956484,0.571878,0.436174,0.358701,0.732375,1.10336,0.68828,1.922106,1.857454,1.940212,2.209833,5.997992,5.226045,5.258181,6.149118,5.794494
2,1.659885,3.581103,3.041209,2.996092,1.508219,3.920488,4.783466,5.372198,5.240832,4.006369,10.426599,11.877607,8.542123,9.842762,7.746703,13.341907
3,1.569461,1.18193,0.811344,1.623783,1.335569,1.908904,2.532557,1.969433,4.702099,10.593616,9.747057,9.271832,8.531155,11.833211,10.150672,10.260617
4,1.25862,1.133433,8.091168,1.558343,1.191552,2.019384,3.942175,2.667373,7.328814,10.094999,12.246355,10.280041,10.282751,11.351054,10.556054,12.589473
5,1.088194,2.543694,6.285623,5.750744,8.5513,7.03719,8.989012,16.106502,8.843203,10.158993,12.638933,10.338829,16.087806,11.815061,11.835736,14.219115
6,1.129255,9.193519,6.580406,7.485075,14.968392,8.603436,8.565223,8.585007,9.022747,12.145553,13.044892,14.191129,14.165255,17.272136,11.865049,13.745536
7,0.873269,2.517317,15.009483,9.007814,13.85481,14.385104,9.068656,14.899944,6.97569,10.130596,11.176298,11.276923,15.951347,19.566722,12.565323,13.453208
