k,Error,Runtime ns
8,9.24E-05,1922106
9,1.83E-05,1235126
10,6.66E-06,2758159
11,1.26E-06,10107529
12,1.67E-07,39862412
13,6.81E-08,158323269
14,1.72E-08,632588721
15,3.34E-09,2559164185
16,1.26E-09,10216018545
