k,Error,Runtime ns
8,8.24E-03,8531155
9,8.20E-03,11180081
10,2.05E-03,12962498
11,2.05E-03,17044734
12,5.12E-04,32055238
13,5.11E-04,88910849
14,1.28E-04,295191159
15,1.28E-04,782073037
16,3.20E-05,3338484935
