k,Error,Runtime ns
8,8.24E-03,7037190
9,8.20E-03,9398416
10,8.18E-03,11315211
11,3.07E-03,16375428
12,5.12E-04,35865881
13,5.11E-04,100057181
14,5.11E-04,326558343
15,1.92E-04,1063065167
16,3.20E-05,3887517880
