0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,63.706789,32.073956,22.788383,17.632529,14.549614,12.524961,11.129445,10.107529,9.178996,8.272096,7.539518,11.672382,10.927371,10.885199,10.675677,10.147736
2,91.36627,50.944496,36.936384,23.621402,21.453132,13.94041,10.78521,12.028609,11.206172,11.091498,20.486232,10.075434,8.76158,9.030508,7.625634,7.344817
3,70.670688,35.434075,23.613202,17.688619,14.254496,11.919882,10.288213,8.987471,7.995705,19.277328,7.454074,7.070077,17.044734,11.511712,7.289223,5.184065
4,52.519902,26.686858,32.973518,13.343661,10.819078,9.073027,7.295409,6.299129,16.017666,15.97657,14.472706,14.352967,16.722549,15.021411,13.68838,8.817823
5,42.586858,19.762268,25.08939,16.203906,25.485481,16.375428,19.164312,30.740054,15.359312,22.423288,24.610862,20.731524,27.24361,19.97426,23.798095,25.605966
6,35.188943,42.373531,24.399323,20.751455,37.959733,22.519773,18.899674,18.288989,17.004086,21.601898,15.927725,24.829828,25.758497,25.567099,14.33925,21.686448
7,30.465799,18.171349,50.895566,27.711739,28.03666,25.651295,17.993999,30.672175,15.152276,15.051715,16.903185,15.227928,32.773848,24.16828,16.402022,21.165702
