k,Error,Runtime ns
8,8.24E-03,1335569
9,8.20E-03,1277460
10,2.05E-03,3697715
11,2.05E-03,14254496
12,5.12E-04,56729812
13,5.11E-04,166168879
14,1.28E-04,391227244
15,1.28E-04,1631306414
16,3.20E-05,6843465792
