k,Error,Runtime ns
8,9.24E-05,8542123
9,1.83E-05,4693440
10,6.66E-06,3507987
11,1.26E-06,8761580
12,1.67E-07,33214630
13,6.81E-08,132219773
14,1.72E-08,436781364
15,3.34E-09,1007407524
16,1.26E-09,3820602907
