k,Error,Runtime ns
8,9.24E-05,4006369
9,1.83E-05,1977830
10,6.66E-06,3183598
11,1.26E-06,11091498
12,1.67E-07,43029886
13,6.81E-08,171394897
14,1.72E-08,612814969
15,3.34E-09,1717003290
16,1.26E-09,4957740797
