k,Error,Runtime ns
8,3.28E-02,11176298
9,4.11E-03,9999603
10,4.09E-03,13362578
11,4.09E-03,16903185
12,5.12E-04,28728000
13,5.11E-04,82042162
14,5.11E-04,246888604
15,6.39E-05,679097360
16,6.39E-05,2677230311
