k,Error,Runtime ns
8,3.28E-02,9022747
9,8.20E-03,10669404
10,8.18E-03,12501530
11,2.05E-03,17004086
12,2.05E-03,37082663
13,5.11E-04,85144555
14,5.11E-04,249083204
15,1.28E-04,832419253
16,1.28E-04,2798576280
