k,Error,Runtime ns
8,8.24E-03,10260617
9,8.20E-03,6404127
10,2.05E-03,3186519
11,2.05E-03,5184065
12,5.12E-04,18077993
13,5.11E-04,71179593
14,1.28E-04,259740375
15,1.28E-04,755324795
16,3.20E-05,2573619985
