k,Error,Runtime ns
8,3.28E-02,19566722
9,4.11E-03,21292260
10,4.09E-03,16637894
11,4.09E-03,24168280
12,5.12E-04,32928467
13,5.11E-04,67881119
14,5.11E-04,179682904
15,6.39E-05,497650745
16,6.39E-05,1834888083
