k,Error,Runtime ns
8,3.28E-02,14968392
9,8.20E-03,21556367
10,8.18E-03,23510052
11,2.05E-03,37959733
12,2.05E-03,83810241
13,5.11E-04,194672835
14,5.11E-04,529013271
15,1.28E-04,1763355543
16,1.28E-04,6849001457
