k,Error,Runtime ns
8,9.24E-05,1659885
9,1.83E-05,4077689
10,6.66E-06,22691226
11,1.26E-06,91366270
12,1.67E-07,270975412
13,6.81E-08,1019771769
14,1.72E-08,4067106033
15,3.34E-09,16295355545
16,1.27E-09,65375925405
