N,Naive (ns),Tiled (ns),Transposed (ns),Cublas (ns),CPU 4 Thds OMP (ns)
16,341300,256888,255029,554628,0
32,255019,251360,252348,739187,0
64,333664,388456,304992,874229,0
128,537039,399959,357841,745703,0
256,1307485,1129230,827584,1389602,0
512,6400951,3437266,3747237,4665728,0
1024,42924060,19656216,21834105,21367640,0
2048,325652430,137741268,159330882,106892028,0
