N,Naive (ns),Tiled (ns),Transposed (ns),Cublas (ns),CPU 16 Thds OMP (ns)
24,414819,394232,385693,1177165,0
48,403371,378183,371671,1025580,0
96,436903,402742,396210,887189,0
192,629319,536859,531350,1561973,0
384,2092335,1719489,1695790,4346462,0
768,8583225,5963955,5923562,16129959,0
1536,46372592,32314032,32013761,53645657,0
