N,Naive (ns),Tiled (ns),Transposed (ns),Cublas (ns),CPU 16 Thds OMP (ns)
16,393229,352060,343654,720424,2797838
32,361401,347858,343457,960264,55276
64,374551,367862,355891,1009235,77737
128,459427,413056,403617,1012912,390246
256,822668,681297,671804,2499896,3638666
512,3030898,2530703,2501222,8060959,39680896
1024,13336077,11114201,11010084,45643130,254291484
2048,77042266,72956199,70746598,94286802,2138476682
4096,606486903,534109733,527870231,879925153,97687819621
