N,"1 Thread (ns)","2 Threads (ns)","Speedup"
256,50.192993,43.450287,0.134336
512,44.057301,37.726742,0.143689
1024,28.588165,24.193726,0.153715
2048,30.420116,30.148243,0.008937
4096,44.314312,41.641716,0.060310
8192,57.164963,53.572102,0.062851
