N,"1 Thread (ns)","3 Threads (ns)","Speedup"
256,62.400452,40.978363,0.343300
512,43.900543,36.522057,0.168073
1024,28.486353,24.232319,0.149336
2048,29.343071,27.784653,0.053110
4096,43.778267,40.640163,0.071682
8192,55.356239,52.424168,0.052967
