N,"1 Thread (ns)","3 Threads (ns)","Speedup"
256,2.150543,74.520691,-33.652031
512,3.448074,37.074181,-9.752141
1024,2.803449,16.160370,-4.764461
2048,8.146347,9.432898,-0.157930
4096,9.208864,7.068805,0.232391
8192,9.946290,5.452819,0.451774
16384,10.056504,4.533185,0.549229
32768,9.153066,4.475694,0.511017
