N,"1 Thread (ns)","2 Threads (ns)","Speedup"
256,50.831558,45.985596,0.095334
512,44.075291,37.816959,0.141992
1024,26.768621,22.787006,0.148742
2048,29.274359,28.444815,0.028337
4096,42.269169,39.281170,0.070690
8192,56.276463,52.173229,0.072912
