N,"1 Thread (ns)","5 Threads (ns)","Speedup"
256,74.075150,46.497635,0.372291
512,50.347237,41.206150,0.181561
1024,32.080746,24.429401,0.238503
2048,32.515560,32.286049,0.007059
4096,49.696896,48.472225,0.024643
8192,71.931694,66.667770,0.073179
