N,"1 Thread (ns)","3 Threads (ns)","Speedup"
256,56.465256,38.917145,0.310777
512,42.308655,35.536877,0.160057
1024,28.014751,23.798838,0.150489
2048,29.724310,28.989902,0.024707
4096,43.103123,39.252258,0.089341
8192,56.589928,52.540817,0.071552
