N,"1 Thread (ns)","5 Threads (ns)","Speedup"
256,69.732254,46.399185,0.334609
512,45.029766,36.937943,0.179699
1024,31.152624,27.109531,0.129783
2048,37.825771,37.226509,0.015843
4096,50.638454,50.218925,0.008285
8192,70.353752,69.054001,0.018475
