N,"1 Thread (ns)","6 Threads (ns)","Speedup"
256,94.550034,51.989792,0.450135
512,52.844086,41.315536,0.218162
1024,29.843246,25.197437,0.155674
2048,36.376190,38.822201,-0.067242
4096,61.073372,56.510601,0.074710
8192,80.378685,74.936409,0.067708
