N,"1 Thread (ns)","6 Threads (ns)","Speedup"
256,3.270309,286.240784,-86.527122
512,3.076843,97.892151,-30.815775
1024,2.216207,115.782013,-51.243328
2048,6.866341,58.344067,-7.497112
4096,8.945171,31.476429,-2.518818
8192,9.509936,17.331450,-0.822457
16384,9.666439,10.265168,-0.061939
32768,9.126753,7.686184,0.157840
