N,"1 Thread (ns)","6 Threads (ns)","Speedup"
256,85.863617,48.984314,0.429510
512,48.341782,39.015041,0.192933
1024,30.175060,25.422005,0.157516
2048,36.921227,35.583641,0.036228
4096,57.754101,56.507698,0.021581
8192,79.133057,76.111496,0.038183
