N,"1 Thread (ns)","4 Threads (ns)","Speedup"
256,68.785538,41.550140,0.395947
512,44.957771,37.847950,0.158144
1024,32.031136,27.233459,0.149782
2048,31.373823,29.984947,0.044269
4096,45.138222,41.771870,0.074579
8192,57.856815,54.441280,0.059034
