N,"1 Thread (ns)","4 Threads (ns)","Speedup"
256,64.868622,41.577881,0.359045
512,44.302616,38.167133,0.138490
1024,27.569410,23.325480,0.153936
2048,28.443016,27.022079,0.049957
4096,42.634262,39.452946,0.074619
8192,56.398151,53.095905,0.058552
