N,"1 Thread (ns)","2 Threads (ns)","Speedup"
256,2.225983,62.463806,-27.061228
512,3.106388,28.578350,-8.199864
1024,2.231950,13.194872,-4.911814
2048,7.783770,8.801523,-0.130753
4096,9.336759,6.656889,0.287024
8192,9.757241,5.654371,0.420495
16384,10.050348,5.016809,0.500832
32768,9.224268,4.471760,0.515218
