N,"1 Thread (ns)","5 Threads (ns)","Speedup"
256,3.308945,242.637939,-72.327888
512,3.115093,88.980698,-27.564375
1024,2.558662,32.695847,-11.778492
2048,6.958562,17.603125,-1.529707
4096,8.762187,10.670802,-0.217824
8192,9.399714,6.322471,0.327376
16384,9.670578,4.914472,0.491812
32768,9.082928,5.441650,0.400893
